time,icao,operation,airport,registration,flight,ac_type,runway,flight_link,squawk,signal_type,category,year,manufacturer,model,ownop,faa_pia,faa_ladd,short_type,mil,apt_type,name,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,elev
2024-07-01 22:06:15,a2b691,landing,KRAP,N274NN,ENY3532,E75L,32,https://globe.adsbexchange.com/?icao=a2b691&zoom=13.5&showTrace=2024-07-01&timestamp=1719871575,2245.0,adsb_icao,A3,2019.0,EMBRAER S A,ERJ 170-200 LR,AMERICAN AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 22:18:40,ab8180,landing,KRAP,N840SY,SCX1879,B738,32,https://globe.adsbexchange.com/?icao=ab8180&zoom=13.5&showTrace=2024-07-01&timestamp=1719872320,3622.0,adsb_icao,A3,2017.0,BOEING,737-800,BANK OF UTAH TRUSTEE,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 22:27:11,a17bfe,takeoff,KRAP,N195NV,AAY698,A320,32,https://globe.adsbexchange.com/?icao=a17bfe&zoom=13.5&showTrace=2024-07-01&timestamp=1719872831,3706.0,adsb_icao,A3,2016.0,AIRBUS,A320-214,ALLEGIANT AIR LLC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 22:30:28,aa75c0,takeoff,KRAP,N773SD,N773SD,BE9L,32,https://globe.adsbexchange.com/?icao=aa75c0&zoom=13.5&showTrace=2024-07-01&timestamp=1719873028,1200.0,adsb_icao,A1,1995.0,BEECH,C90A,SOUTH DAKOTA DEPARTMENT OF TRANSPORTATION,f,t,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 22:33:09,a00b17,takeoff,KRAP,N1012P,N1012P,M20P,32,https://globe.adsbexchange.com/?icao=a00b17&zoom=13.5&showTrace=2024-07-01&timestamp=1719873189,3135.0,adsb_icao,A1,2000.0,MOONEY,M20R,FLY SLC LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 22:39:22,a9973c,landing,KRAP,N717NB,JTL717,C56X,32,https://globe.adsbexchange.com/?icao=a9973c&zoom=13.5&showTrace=2024-07-01&timestamp=1719873562,5154.0,adsb_icao,A2,2007.0,CESSNA,560XL,MCKENZIE BRIDGE LAND CO LLC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 22:58:28,ad1da9,landing,KRAP,N944SW,SKW5265,CRJ2,32,https://globe.adsbexchange.com/?icao=ad1da9&zoom=13.5&showTrace=2024-07-01&timestamp=1719874708,5160.0,adsb_icao,A2,2003.0,BOMBARDIER INC,CL-600-2B19,SKYWEST AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 23:00:12,a5e2bc,takeoff,KRAP,N479CA,SKW5545,CRJ2,32,https://globe.adsbexchange.com/?icao=a5e2bc&zoom=13.5&showTrace=2024-07-01&timestamp=1719874812,5101.0,adsb_icao,A2,2002.0,BOMBARDIER INC,CL-600-2B19,SKYWEST AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 23:05:54,a2b691,takeoff,KRAP,N274NN,ENY3532,E75L,32,https://globe.adsbexchange.com/?icao=a2b691&zoom=13.5&showTrace=2024-07-01&timestamp=1719875154,1463.0,adsb_icao,A3,2019.0,EMBRAER S A,ERJ 170-200 LR,AMERICAN AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 23:22:47,a15160,landing,KRAP,N184UX,AIP1044,B190,32,https://globe.adsbexchange.com/?icao=a15160&zoom=13.5&showTrace=2024-07-01&timestamp=1719876167,2646.0,adsb_icao,A2,1995.0,BEECH,1900D,ALPINE AVIATION INC,f,f,L2T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 23:25:02,ab8180,takeoff,KRAP,N840SY,SCX1880,B738,32,https://globe.adsbexchange.com/?icao=ab8180&zoom=13.5&showTrace=2024-07-01&timestamp=1719876302,3242.0,adsb_icao,A3,2017.0,BOEING,737-800,BANK OF UTAH TRUSTEE,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 23:29:59,ad4ba3,landing,KRAP,N956HC,N956HC,C25B,32,https://globe.adsbexchange.com/?icao=ad4ba3&zoom=13.5&showTrace=2024-07-01&timestamp=1719876599,5113.0,adsb_icao,A1,2021.0,TEXTRON AVIATION INC,525B,HC VENTURES LLC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 23:59:33,ad1da9,takeoff,KRAP,N944SW,SKW4660,CRJ2,32,https://globe.adsbexchange.com/?icao=ad1da9&zoom=13.5&showTrace=2024-07-01&timestamp=1719878373,5121.0,adsb_icao,A2,2003.0,BOMBARDIER INC,CL-600-2B19,SKYWEST AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
