time,operation,flight,ac_type,runway
2025-05-01 16:27:24,landing,SKW4643,E75L,27
2025-05-01 16:28:35,takeoff,SWA1459,B737,27
2025-05-01 16:29:07,landing,HRT223,F2TH,27
2025-05-01 16:30:47,landing,SWA1432,B737,27
2025-05-01 16:31:49,takeoff,SWA206,B737,27
2025-05-01 16:33:18,landing,FFT2817,A21N,27
2025-05-01 16:34:31,takeoff,SKW3153,E75L,27
2025-05-01 16:35:38,landing,QXE2154,E75L,27
2025-05-01 16:36:45,takeoff,SWA645,B737,27
2025-05-01 16:38:09,landing,ASA1258,B739,27
2025-05-01 16:39:30,takeoff,ASA1071,B739,27
2025-05-01 16:41:08,landing,DAL2508,B738,27
2025-05-01 16:42:14,takeoff,SWA3648,B737,27
2025-05-01 16:43:40,takeoff,N721AZ,GLF5,27
2025-05-01 16:44:26,landing,UAL1483,B739,27
2025-05-01 16:45:58,landing,SWA2134,B737,27
2025-05-01 16:47:19,takeoff,AAL2034,A321,27
2025-05-01 16:49:14,landing,TIV799,C680,27
2025-05-01 16:50:31,takeoff,AAL2284,A321,27
2025-05-01 16:51:41,takeoff,EJM347,CL35,27
2025-05-01 16:52:42,landing,CGNRC,CL60,27
2025-05-01 16:54:04,takeoff,SWA1085,B737,27
2025-05-01 16:54:57,landing,DAL725,A321,27
2025-05-01 16:56:01,takeoff,SWA3176,B737,27
2025-05-01 16:56:56,landing,AAL2050,A321,27
2025-05-01 16:58:22,takeoff,ASA320,B739,27
2025-05-01 16:59:53,landing,ASA912,B739,27
2025-05-01 17:02:05,landing,CSB529,B763,27
2025-05-01 17:03:30,takeoff,ASA390,B39M,27
2025-05-01 17:04:18,landing,SWA1364,B737,27
2025-05-01 17:05:19,takeoff,SWA2512,B737,27
2025-05-01 17:06:20,landing,NKS379,A320,27
2025-05-01 17:07:43,takeoff,SWA1360,B737,27
2025-05-01 17:08:48,takeoff,DAL1177,B738,27
2025-05-01 17:10:40,landing,JCM718,H25B,27
2025-05-01 17:12:41,landing,SKW3456,E75L,27
2025-05-01 17:13:31,takeoff,RGY872,BE40,27
2025-05-01 17:15:17,landing,SKW4018,E75L,27
2025-05-01 17:16:48,takeoff,ASA322,B39M,27
2025-05-01 17:17:38,landing,SWA2014,B737,27
2025-05-01 17:19:36,landing,TSU7122,AT75,27
2025-05-01 17:20:33,takeoff,SKW3967,E75L,27
2025-05-01 17:21:22,landing,LXJ468,GLF4,27
2025-05-01 17:22:42,takeoff,SWA1201,B738,27
2025-05-01 17:24:31,landing,SWA9005,B38M,27
2025-05-01 17:25:44,takeoff,UAL1211,B738,27
2025-05-01 17:27:03,landing,SWA2283,B38M,27
2025-05-01 17:28:21,takeoff,SWA1261,B737,27
2025-05-01 17:29:59,landing,AAL1093,B38M,27
2025-05-01 17:32:58,takeoff,AAL2983,A321,27
2025-05-01 17:33:49,takeoff,HAL57,A21N,27
2025-05-01 17:34:40,takeoff,JBU620,A321,27
2025-05-01 17:35:43,landing,DAL2121,A321,27
2025-05-01 17:36:35,takeoff,EJA765,CL35,27
2025-05-01 17:37:46,landing,AAL2275,A321,27
2025-05-01 17:39:18,landing,DAL492,A321,27
2025-05-01 17:40:37,takeoff,ASA891,B738,27
2025-05-01 17:42:01,landing,TIV70,C25B,27
2025-05-01 17:43:01,takeoff,SWA2498,B737,27
2025-05-01 17:43:49,takeoff,UAL2140,B38M,27
2025-05-01 17:43:54,takeoff,QXE2058,E75L,27
2025-05-01 17:45:16,landing,SWA1219,B737,27
2025-05-01 17:47:17,landing,FFT1425,A20N,27
2025-05-01 17:48:45,takeoff,AAL2131,B738,27
2025-05-01 17:50:12,landing,UAL8191,B739,27
2025-05-01 17:51:25,takeoff,SKW5249,E75L,27
2025-05-01 17:53:18,takeoff,ASA1259,B739,27
2025-05-01 17:55:44,takeoff,SWA2134,B737,27
2025-05-01 17:58:09,takeoff,ASA1073,B739,27
2025-05-01 18:00:39,takeoff,EJM999,C56X,27
2025-05-01 18:02:51,landing,ASA433,B39M,27
2025-05-01 18:04:45,landing,JAL66,B789,27
2025-05-01 18:07:06,landing,JBU619,A321,27
2025-05-01 18:08:35,landing,UAL1930,B38M,27
2025-05-01 18:09:49,takeoff,DAL2508,B738,27
2025-05-01 18:10:38,landing,SWA673,B38M,27
2025-05-01 18:12:32,landing,SWA2196,B737,27
2025-05-01 18:14:15,landing,UAL1826,B38M,27
2025-05-01 18:14:40,takeoff,UAL1826,B38M,27
2025-05-01 18:15:02,takeoff,CWG200,C700,27
2025-05-01 18:16:34,landing,N40JD,PRM1,27
2025-05-01 18:17:42,takeoff,SWA2612,B737,27
2025-05-01 18:18:45,landing,SWA5830,B737,27
2025-05-01 18:20:13,landing,SWA1762,B737,27
2025-05-01 18:21:33,landing,SWA2409,B737,27
2025-05-01 18:22:38,takeoff,FFT4928,A21N,27
2025-05-01 18:23:30,landing,SWA2932,B737,27
2025-05-01 18:25:09,landing,UAL660,A21N,27
2025-05-01 18:27:04,landing,SWA102,B737,27
2025-05-01 18:28:33,landing,N150LR,H25C,27
2025-05-01 18:29:56,takeoff,UAL1633,B739,27
2025-05-01 18:31:39,landing,SWA2592,B737,27
2025-05-01 18:32:27,takeoff,TIV799,C680,27
2025-05-01 18:33:02,takeoff,LXJ468,GLF4,27
2025-05-01 18:34:28,landing,MXY542,BCS3,27
2025-05-01 18:35:41,takeoff,AAL2050,A321,27
2025-05-01 18:36:57,landing,ACA1093,B38M,27
2025-05-01 18:38:10,takeoff,SKW4001,E75L,27
2025-05-01 18:38:43,takeoff,XBILI,AC90,27
2025-05-01 18:40:06,landing,LXJ366,E55P,27
2025-05-01 18:41:16,takeoff,ASA821,B738,27
2025-05-01 18:42:18,landing,ASA884,B738,27
2025-05-01 18:43:07,takeoff,NKS380,A320,27
2025-05-01 18:44:07,landing,AAL1621,A21N,27
2025-05-01 18:45:01,takeoff,SWA1428,B38M,27
2025-05-01 18:46:07,landing,JZA764,CRJ9,27
2025-05-01 18:47:43,landing,LXJ605,E550,27
2025-05-01 18:49:19,landing,SKW3498,E75L,27
2025-05-01 18:50:32,takeoff,DAL725,A321,27
2025-05-01 18:51:28,takeoff,SWA3175,B737,27
2025-05-01 18:52:39,landing,N34SJ,C25B,27
2025-05-01 18:54:08,landing,N651WE,GLF6,27
2025-05-01 18:55:08,takeoff,SWA1219,B737,27
2025-05-01 18:56:09,landing,JBU919,A321,27
2025-05-01 18:57:03,takeoff,SKW3422,E75L,27
2025-05-01 18:57:57,landing,SKW3200,E75L,27
2025-05-01 18:59:04,takeoff,SWA1695,B38M,27
2025-05-01 19:00:14,takeoff,N40JD,PRM1,27
2025-05-01 19:03:43,landing,SKW3165,E75L,27
2025-05-01 19:04:37,takeoff,FFT1426,A20N,27
2025-05-01 19:05:49,landing,SKW3342,E75L,27
2025-05-01 19:06:35,takeoff,AAL1954,A321,27
2025-05-01 19:07:35,landing,SKW3373,E75L,27
2025-05-01 19:08:40,takeoff,DAL492,A321,27
2025-05-01 19:09:33,landing,SWA1062,B737,27
2025-05-01 19:12:32,landing,DAL1179,A321,27
2025-05-01 19:15:01,landing,DAL2533,BCS3,27
2025-05-01 19:16:04,takeoff,SWA5830,B737,27
2025-05-01 19:16:59,landing,SWA2584,B737,27
2025-05-01 19:18:58,landing,EJM557,G280,27
2025-05-01 19:19:49,takeoff,LXJ366,E55P,27
2025-05-01 19:20:48,landing,N29HG,CL35,27
2025-05-01 19:21:50,takeoff,SWA2196,B737,27
2025-05-01 19:22:42,landing,ASA27,B739,27
2025-05-01 19:23:46,takeoff,SWA102,B737,27
2025-05-01 19:25:09,landing,UAL1179,B738,27
2025-05-01 19:26:09,takeoff,SWA2445,B737,27
2025-05-01 19:26:55,landing,AAL2122,A321,27
2025-05-01 19:28:09,takeoff,DAL2647,A321,27
2025-05-01 19:28:57,landing,N90KC,CL60,27
2025-05-01 19:30:28,takeoff,UAL1663,B739,27
